,ROK,Rockwell Automation,224.66,,153.31,46.54%
,HUM,Humana Inc,403.63,,#N/A,#N/A
,EMR,Emerson Electric Co.,68.19,,46.96,45.21%
,DFS,Discover Financial Services,57.99,,37.87,53.13%
,SYF,Synchrony Financial,26.96,,#N/A,#N/A
,WRK,Westrock Co,34.34,,22.51,52.55%
,EL,Estee Lauder Companies Inc,217.41,,148.98,45.93%
,TXT,Textron Inc.,39.33,,26.9,46.21%
,KHC,Kraft Heinz Co,31.87,,22.02,44.73%
,PNR,Pentair PLC,44.8,,30.38,47.47%
,ADM,Archer-Daniels-Midland Co,47.5,,32.68,45.35%
,MET,Metlife Inc,38.84,,26.8,44.93%
,DTE,DTE Energy Co,120.38,,83.03,44.98%
,TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC Common Stock",156.48,,108.01,44.88%
,ABT,Abbott Laboratories,105.69,,73.66,43.48%
,EA,Electronic Arts Inc.,126.18,,88.67,42.30%
,NWL,Newell Brands Inc,17.83,,12.28,45.20%
,DRE,Duke Realty Corp,37.9,,#N/A,#N/A
,GPC,Genuine Parts Company,103.02,,70.95,45.20%
,ULTA,Ulta Beauty Inc,234.14,,161.54,44.94%
,MNST,Monster Beverage Corp,82.89,,57.44,44.31%
,AIZ,"Assurant, Inc.",119.45,,83.9,42.37%
,TSN,"Tyson Foods, Inc.",65.31,,45.05,44.97%
,XLNX,"Xilinx, Inc.",101.72,,69.83,45.67%
,GOOGL,Alphabet Inc Class A,1508.83,,1073,40.62%
,GRMN,Garmin Ltd.,99.7,,#N/A,#N/A
,ROP,Roper Technologies Inc,396.26,,283.26,39.89%
,INTU,Intuit Inc.,318.31,,223.43,42.47%
,TPR,Tapestry Inc,17.52,,11.48,52.61%
,SYK,Stryker Corporation,205.51,,143.83,42.88%
,WAB,Westinghouse Air Brake Technologies Corp,68,,48.08,41.43%
,GOOG,Alphabet Inc Class C,1519.28,,1084.33,40.11%
,PFG,Principal Financial Group Inc,41.32,,29.31,40.98%
,MA,Mastercard Inc,338.6,,235.65,43.69%
,CTVA,Corteva Inc,28.97,,20.74,39.68%
,BLL,Ball Corporation,83.28,,58.43,42.53%
,F,Ford Motor Company,7.12,,5.01,42.12%
,TFC,Truist Financial Corp,39.76,,27.37,45.27%
