,AES,AES Corp,17.95,,16,12.19%
,DLR,"Digital Realty Trust, Inc.",144.28,,126.39,14.15%
,AMAT,"Applied Materials, Inc.",56.46,,50.92,10.88%
,PPG,"PPG Industries, Inc.",130.21,,115.36,12.87%
,JNJ,Johnson & Johnson,148.35,,#N/A,#N/A
,KLAC,KLA Corp,178.08,,151.19,17.79%
,TROW,T. Rowe Price Group Inc,127.41,,116.85,9.04%
,PG,Procter & Gamble Co,138.63,,119.75,15.77%
,XYL,Xylem Inc,84.21,,78.06,7.88%
,IEX,IDEX Corporation,184.1,,171.53,7.33%
,VRSK,"Verisk Analytics, Inc.",185.08,,156.52,18.25%
,EW,Edwards Lifesciences Corp,82.95,,71.7,15.69%
,FTV,Fortive Corp,77.63,,69.5,11.70%
,TXN,Texas Instruments Incorporated,138.53,,128.36,7.92%
,V,Visa Inc,204.98,,176.11,16.39%
,AZO,"AutoZone, Inc.",1241.66,,1130.66,9.82%
,CAH,Cardinal Health Inc,47.05,,48.91,-3.80%
,HCA,HCA Healthcare Inc,135.72,,128.95,5.25%
,EFX,Equifax Inc.,163.32,,139.98,16.67%
,NWSA,News Corp Class A,15.31,,14.08,8.74%
,DRE,Duke Realty Corp,37.9,,32.93,15.09%
,CTSH,Cognizant Technology Solutions Corp,69.29,,63.99,8.28%
,IFF,International Flavors & Fragrances Inc,122.98,,122.03,0.78%
,INTU,Intuit Inc.,318.31,,265.82,19.75%
,GPC,Genuine Parts Company,103.02,,97.89,5.24%
,ALXN,"Alexion Pharmaceuticals, Inc.",108.72,,108.54,0.17%
,ROP,Roper Technologies Inc,396.26,,356.73,11.08%
,AAP,"Advance Auto Parts, Inc.",157.31,,156.07,0.79%
,INCY,Incyte Corporation,93.15,,78.34,18.90%
,TEL,TE Connectivity Ltd,99.58,,95.1,4.71%
,CI,Cigna Corp,171.85,,165.5,3.84%
,COO,Cooper Companies Inc,334.55,,303.09,10.38%
,AWK,American Water Works Company Inc,142.88,,120.98,18.10%
