Date,AMD
3/13/2018,11.64
3/12/2018,11.52
3/9/2018,11.7
3/8/2018,11.97
3/7/2018,12.24
3/6/2018,11.76
3/5/2018,11.91
3/2/2018,11.81
3/1/2018,11.9
2/28/2018,12.11
2/27/2018,12.53
2/26/2018,12.42
2/23/2018,12.07
2/22/2018,11.84
2/21/2018,11.72
2/20/2018,12.02
2/16/2018,11.82
2/15/2018,12.19
2/14/2018,12.2
2/13/2018,11.78
2/12/2018,11.68
2/9/2018,11.31
2/8/2018,11.22
2/7/2018,11.6
2/6/2018,11.65
2/5/2018,11.57
2/2/2018,12.45
2/1/2018,13.25
1/31/2018,13.74
1/30/2018,12.87
1/29/2018,13.32
1/26/2018,12.95
1/25/2018,12.41
1/24/2018,12.71
1/23/2018,12.94
1/22/2018,12.65
1/19/2018,12.59
1/18/2018,12.47
1/17/2018,12.18
1/16/2018,11.91
1/12/2018,12.02
1/11/2018,12.14
1/10/2018,11.96
1/9/2018,11.82
1/8/2018,12.28
1/5/2018,11.88
1/4/2018,12.12
1/3/2018,11.55
1/2/2018,10.98
12/29/2017,10.28
12/28/2017,10.55
12/27/2017,10.53
12/26/2017,10.46
12/22/2017,10.54
12/21/2017,10.89
12/20/2017,10.98
12/19/2017,10.95
12/18/2017,10.98
12/15/2017,10.29
12/14/2017,10.13
12/13/2017,10.11
12/12/2017,9.9
12/11/2017,10.16
12/8/2017,9.94
12/7/2017,10.04
12/6/2017,10
12/5/2017,9.91
12/4/2017,10.03
12/1/2017,10.73
11/30/2017,10.89
11/29/2017,10.83
11/28/2017,11.17
11/27/2017,11.55
11/24/2017,11.38
11/22/2017,11.37
11/21/2017,11.4
11/20/2017,11.34
11/17/2017,11.38
11/16/2017,11.25
11/15/2017,11.07
11/14/2017,11.12
11/13/2017,11.09
11/10/2017,11.26
11/9/2017,11.12
11/8/2017,11.71
11/7/2017,12.05
11/6/2017,11.93
11/3/2017,11.12
11/2/2017,10.85
11/1/2017,10.8
10/31/2017,10.985
10/30/2017,10.89
10/27/2017,11.84
10/26/2017,12.005
10/25/2017,12.33
10/24/2017,14.25
10/23/2017,14.1
10/20/2017,13.81
10/19/2017,13.95
10/18/2017,14.07
10/17/2017,14.16
10/16/2017,14.26
10/13/2017,14.22
10/12/2017,14.2
10/11/2017,13.88
10/10/2017,13.7
10/9/2017,13.47
10/6/2017,13.23
10/5/2017,13.34
10/4/2017,13.31
10/3/2017,13.42
10/2/2017,12.71
9/29/2017,12.75
9/28/2017,12.74
9/27/2017,12.74
9/26/2017,12.45
9/25/2017,12.61
9/22/2017,13.3
9/21/2017,13.41
9/20/2017,13.74
9/19/2017,13.12
9/18/2017,13.08
9/15/2017,12.52
9/14/2017,12.26
9/13/2017,12.22
9/12/2017,12.3
9/11/2017,12.55
9/8/2017,12.25
9/7/2017,12.63
9/6/2017,12.86
9/5/2017,12.92
9/1/2017,13.19
8/31/2017,13
8/30/2017,12.67
8/29/2017,12.15
8/28/2017,12.23
8/25/2017,12.43
8/24/2017,12.5
8/23/2017,12.48
8/22/2017,12.17
8/21/2017,12.05
8/18/2017,12.37
8/17/2017,12.34
8/16/2017,12.63
8/15/2017,13.02
8/14/2017,12.76
8/11/2017,12.23
8/10/2017,12.12
8/9/2017,12.83
8/8/2017,13.11
8/7/2017,13.43
8/4/2017,13.12
8/3/2017,13.24
8/2/2017,13.37
8/1/2017,13.71
7/31/2017,13.61
7/28/2017,13.95
7/27/2017,14.12
7/26/2017,14.76
7/25/2017,14.11
7/24/2017,14.16
7/21/2017,13.88
7/20/2017,13.8
7/19/2017,13.55
7/18/2017,13.48
7/17/2017,13.8
7/14/2017,13.92
7/13/2017,13.53
7/12/2017,14.29
7/11/2017,13.89
7/10/2017,13.81
7/7/2017,13.36
7/6/2017,13.02
7/5/2017,13.19
7/3/2017,12.15
6/30/2017,12.48
6/29/2017,12.6
6/28/2017,13.23
6/27/2017,13.4
6/26/2017,14.08
6/23/2017,14.17
6/22/2017,14.38
6/21/2017,13.98
6/20/2017,12.64
6/19/2017,11.93
6/16/2017,11.44
6/15/2017,11.5
6/14/2017,11.77
6/13/2017,11.96
6/12/2017,12.09
6/9/2017,12.28
6/8/2017,12.9
6/7/2017,12.38
6/6/2017,12.03
6/5/2017,11.24
6/2/2017,10.9
6/1/2017,10.93
5/31/2017,11.19
5/30/2017,11.12
5/26/2017,11
5/25/2017,10.98
5/24/2017,10.89
5/23/2017,10.89
5/22/2017,11.04
5/19/2017,11.41
5/18/2017,11.275
5/17/2017,11.2
5/16/2017,12.75
5/15/2017,11.42
5/12/2017,11.26
5/11/2017,11.07
5/10/2017,10.79
5/9/2017,10.18
5/8/2017,10.04
5/5/2017,10.19
5/4/2017,10.1
5/3/2017,10.39
5/2/2017,10.32
5/1/2017,13.62
4/28/2017,13.3
4/27/2017,13.62
4/26/2017,13.41
4/25/2017,13.49
4/24/2017,13.13
4/21/2017,13
4/20/2017,13.11
4/19/2017,12.84
4/18/2017,12.95
4/17/2017,12.79
4/13/2017,12.31
4/12/2017,12.76
4/11/2017,13.1
4/10/2017,13.1
4/7/2017,13.52
4/6/2017,13.27
4/5/2017,14.17
4/4/2017,14.16
4/3/2017,14.64
3/31/2017,14.55
3/30/2017,14.05
3/29/2017,13.71
3/28/2017,13.69
3/27/2017,13.7
3/24/2017,13.7
3/23/2017,13.79
3/22/2017,14.1
3/21/2017,13.82
3/20/2017,14.4
3/17/2017,13.49
3/16/2017,13.65
3/15/2017,13.98
3/14/2017,14.1
3/13/2017,14.28
3/10/2017,13.91
3/9/2017,13.33
3/8/2017,13.22
3/7/2017,13.05
3/6/2017,13.04
3/3/2017,13.03
3/2/2017,13.9
3/1/2017,14.96
2/28/2017,14.46
2/27/2017,15.2
2/24/2017,14.12
2/23/2017,14.32
2/22/2017,14.28
2/21/2017,14
2/17/2017,13.13
2/16/2017,12.97
2/15/2017,13.3
2/14/2017,13.26
2/13/2017,13.49
2/10/2017,13.58
2/9/2017,13.42
2/8/2017,13.56
2/7/2017,13.29
2/6/2017,13.63
2/3/2017,12.24
2/2/2017,12.28
2/1/2017,12.06
1/31/2017,10.37
1/30/2017,10.61
1/27/2017,10.67
1/26/2017,10.52
1/25/2017,10.35
1/24/2017,10.44
1/23/2017,9.91
1/20/2017,9.75
1/19/2017,9.77
1/18/2017,9.88
1/17/2017,9.82
1/13/2017,10.58
1/12/2017,10.76
1/11/2017,11.2
1/10/2017,11.44
1/9/2017,11.49
1/6/2017,11.32
1/5/2017,11.24
1/4/2017,11.43
1/3/2017,11.43
12/30/2016,11.34
12/29/2016,11.59
12/28/2016,11.55
12/27/2016,12.07
12/23/2016,11.58
12/22/2016,11.6
12/21/2016,11.47
12/20/2016,11.51
12/19/2016,10.95
12/16/2016,10.66
12/15/2016,10.86
12/14/2016,10.55
12/13/2016,10.54
12/12/2016,10.68
12/9/2016,10.34
12/8/2016,10.34
12/7/2016,9.56
12/6/2016,9.45
12/5/2016,8.68
12/2/2016,8.53
12/1/2016,8.39
11/30/2016,8.91
11/29/2016,8.93
11/28/2016,8.83
11/25/2016,8.77
11/23/2016,8.8
11/22/2016,8.69
11/21/2016,8.94
11/18/2016,8.71
11/17/2016,8.46
11/16/2016,7.67
11/15/2016,6.97
11/14/2016,6.79
11/11/2016,6.685
11/10/2016,6.295
11/9/2016,6.94
11/8/2016,7
11/7/2016,6.96
11/4/2016,6.56
11/3/2016,6.7
11/2/2016,6.76
11/1/2016,7.09
10/31/2016,7.23
10/28/2016,7.2
10/27/2016,7.11
10/26/2016,7.29
10/25/2016,7.5
10/24/2016,7.005
10/21/2016,6.52
10/20/2016,6.96
10/19/2016,6.77
10/18/2016,6.73
10/17/2016,6.67
10/14/2016,6.75
10/13/2016,6.49
10/12/2016,6.62
10/11/2016,6.5
10/10/2016,6.84
10/7/2016,6.75
10/6/2016,6.96
10/5/2016,6.78
10/4/2016,6.97
10/3/2016,6.95
9/30/2016,6.91
9/29/2016,6.67
9/28/2016,6.59
9/27/2016,6.54
9/26/2016,6.32
9/23/2016,6.55
9/22/2016,6.37
9/21/2016,6.29
9/20/2016,6.17
9/19/2016,6.16
9/16/2016,6.05
9/15/2016,6.02
9/14/2016,6.04
9/13/2016,5.74
9/12/2016,5.94
9/9/2016,5.9
9/8/2016,6.225
9/7/2016,6.84
9/6/2016,7.34
9/2/2016,7.51
9/1/2016,7.35
8/31/2016,7.4
8/30/2016,7.49
8/29/2016,7.59
8/26/2016,7.67
8/25/2016,7.465
8/24/2016,7.43
8/23/2016,7.67
8/22/2016,7.58
8/19/2016,7.62
8/18/2016,7.04
8/17/2016,6.68
8/16/2016,6.78
8/15/2016,6.95
8/12/2016,6.73
8/11/2016,6.58
8/10/2016,6.49
8/9/2016,6.6
8/8/2016,6.68
8/5/2016,6.61
8/4/2016,6.47
8/3/2016,6.3
8/2/2016,6.26
8/1/2016,6.64
7/29/2016,6.86
7/28/2016,6.82
7/27/2016,6.85
7/26/2016,6.98
7/25/2016,6.7
7/22/2016,5.84
7/21/2016,5.22
7/20/2016,5.41
7/19/2016,5.41
7/18/2016,5.51
7/15/2016,5.14
7/14/2016,5.17
7/13/2016,5.09
7/12/2016,5.14
7/11/2016,5.01
7/8/2016,5.1
7/7/2016,5.02
7/6/2016,5.04
7/5/2016,4.96
7/1/2016,5.07
6/30/2016,5.14
6/29/2016,5.13
6/28/2016,5.12
6/27/2016,4.72
6/24/2016,4.88
6/23/2016,5.21
6/22/2016,5.02
6/21/2016,5.45
6/20/2016,5.1
6/17/2016,5.26
6/16/2016,4.75
6/15/2016,4.42
6/14/2016,4.39
6/13/2016,4.4
6/10/2016,4.32
6/9/2016,4.52
6/8/2016,4.46
6/7/2016,4.51
6/6/2016,4.47
6/3/2016,4.16
6/2/2016,4.24
6/1/2016,4.43
5/31/2016,4.57
5/27/2016,4.6
5/26/2016,4.35
5/25/2016,4.18
5/24/2016,4.2
5/23/2016,4.04
5/20/2016,3.87
5/19/2016,3.77
5/18/2016,3.84
5/17/2016,3.79
5/16/2016,3.79
5/13/2016,3.67
5/12/2016,3.59
5/11/2016,3.65
5/10/2016,3.64
5/9/2016,3.65
5/6/2016,3.68
5/5/2016,3.66
5/4/2016,3.6
5/3/2016,3.6
5/2/2016,3.74
4/29/2016,3.55
4/28/2016,3.61
4/27/2016,3.73
4/26/2016,3.66
4/25/2016,3.45
4/22/2016,3.99
4/21/2016,2.62
4/20/2016,2.7
4/19/2016,2.62
4/18/2016,2.76
4/15/2016,2.7
4/14/2016,2.72
4/13/2016,2.8
4/12/2016,2.81
4/11/2016,2.76
4/8/2016,2.74
4/7/2016,2.64
4/6/2016,2.8
4/5/2016,2.76
4/4/2016,2.83
4/1/2016,2.83
3/31/2016,2.85
3/30/2016,2.86
3/29/2016,2.86
3/28/2016,2.78
3/24/2016,2.79
3/23/2016,2.68
3/22/2016,2.79
3/21/2016,2.8
3/18/2016,2.93
3/17/2016,2.8
3/16/2016,2.63
3/15/2016,2.49
3/14/2016,2.72
3/11/2016,2.52
3/10/2016,2.26
3/9/2016,2.26
3/8/2016,2.3
3/7/2016,2.47
3/4/2016,2.37
3/3/2016,2.46
3/2/2016,2.32
3/1/2016,2.18
2/29/2016,2.14
2/26/2016,2.07
2/25/2016,2.03
2/24/2016,2.02
2/23/2016,1.97
2/22/2016,2.01
2/19/2016,1.91
2/18/2016,1.91
2/17/2016,1.9
2/16/2016,1.83
2/12/2016,1.83
2/11/2016,1.86
2/10/2016,1.84
2/9/2016,1.9
2/8/2016,1.93
2/5/2016,1.98
2/4/2016,2.09
2/3/2016,2.07
2/2/2016,1.99
2/1/2016,2.14
1/29/2016,2.2
1/28/2016,2.08
1/27/2016,2.13
1/26/2016,2.07
1/25/2016,2.12
1/22/2016,2.02
1/21/2016,2.09
1/20/2016,1.8
1/19/2016,1.95
1/15/2016,2.03
1/14/2016,2.21
1/13/2016,2.25
1/12/2016,2.39
1/11/2016,2.34
1/8/2016,2.14
1/7/2016,2.275
1/6/2016,2.505
1/5/2016,2.75
1/4/2016,2.77
12/31/2015,2.87
12/30/2015,2.98
12/29/2015,3
12/28/2015,3
12/24/2015,2.92
12/23/2015,2.83
12/22/2015,2.77
12/21/2015,2.53
12/18/2015,2.45
12/17/2015,2.56
12/16/2015,2.54
12/15/2015,2.36
12/14/2015,2.34
12/11/2015,2.36
12/10/2015,2.45
12/9/2015,2.35
12/8/2015,2.39
12/7/2015,2.355
12/4/2015,2.28
12/3/2015,2.23
12/2/2015,2.27
12/1/2015,2.34
11/30/2015,2.36
11/27/2015,2.33
11/25/2015,2.38
11/24/2015,2.34
11/23/2015,2.22
11/20/2015,2.22
11/19/2015,2.14
11/18/2015,2.12
11/17/2015,1.98
11/16/2015,1.99
11/13/2015,1.99
11/12/2015,2
11/11/2015,2.07
11/10/2015,2.02
11/9/2015,2.11
11/6/2015,2.15
11/5/2015,2.2
11/4/2015,2.2
11/3/2015,2.28
11/2/2015,2.19
10/30/2015,2.12
10/29/2015,2.13
10/28/2015,2.18
10/27/2015,2.15
10/26/2015,2.15
10/23/2015,2.21
10/22/2015,2.14
10/21/2015,2.1
10/20/2015,2.02
10/19/2015,2.01
10/16/2015,1.94
10/15/2015,1.97
10/14/2015,1.95
10/13/2015,1.92
10/12/2015,1.87
10/9/2015,1.96
10/8/2015,1.93
10/7/2015,1.86
10/6/2015,1.83
10/5/2015,1.8
10/2/2015,1.83
10/1/2015,1.74
9/30/2015,1.72
9/29/2015,1.67
9/28/2015,1.66
9/25/2015,1.71
9/24/2015,1.72
9/23/2015,1.7
9/22/2015,1.73
9/21/2015,1.81
9/18/2015,1.87
9/17/2015,1.89
9/16/2015,1.89
9/15/2015,1.86
9/14/2015,1.82
9/11/2015,2.01
9/10/2015,1.84
9/9/2015,1.85
9/8/2015,1.88
9/4/2015,1.82
9/3/2015,1.79
9/2/2015,1.77
9/1/2015,1.71
8/31/2015,1.81
8/28/2015,1.85
8/27/2015,1.78
8/26/2015,1.72
8/25/2015,1.66
8/24/2015,1.75
8/21/2015,1.78
8/20/2015,1.7
8/19/2015,1.8
8/18/2015,1.8
8/17/2015,1.8
8/14/2015,1.84
8/13/2015,1.79
8/12/2015,1.9
8/11/2015,1.9
8/10/2015,1.93
8/7/2015,2.09
8/6/2015,2.11
8/5/2015,2.16
8/4/2015,2.13
8/3/2015,2.2
7/31/2015,1.93
7/30/2015,1.93
7/29/2015,1.96
7/28/2015,1.77
7/27/2015,1.62
7/24/2015,1.67
7/23/2015,1.76
7/22/2015,1.79
7/21/2015,1.8
7/20/2015,1.8
7/17/2015,1.79
7/16/2015,1.87
7/15/2015,1.96
7/14/2015,2.05
7/13/2015,1.96
7/10/2015,1.96
7/9/2015,1.98
7/8/2015,2.01
7/7/2015,2.09
7/6/2015,2.47
7/2/2015,2.53
7/1/2015,2.42
6/30/2015,2.4
6/29/2015,2.34
6/26/2015,2.47
6/25/2015,2.58
6/24/2015,2.62
6/23/2015,2.61
6/22/2015,2.62
6/19/2015,2.58
6/18/2015,2.52
6/17/2015,2.47
6/16/2015,2.35
6/15/2015,2.32
6/12/2015,2.31
6/11/2015,2.32
6/10/2015,2.32
6/9/2015,2.29
6/8/2015,2.31
6/5/2015,2.33
6/4/2015,2.33
6/3/2015,2.28
6/2/2015,2.3
6/1/2015,2.25
5/29/2015,2.28
5/28/2015,2.27
5/27/2015,2.28
5/26/2015,2.22
5/22/2015,2.28
5/21/2015,2.28
5/20/2015,2.32
5/19/2015,2.28
5/18/2015,2.35
5/15/2015,2.32
5/14/2015,2.33
5/13/2015,2.37
5/12/2015,2.35
5/11/2015,2.32
5/8/2015,2.31
5/7/2015,2.32
5/6/2015,2.29
5/5/2015,2.28
5/4/2015,2.31
5/1/2015,2.31
4/30/2015,2.26
4/29/2015,2.28
4/28/2015,2.31
4/27/2015,2.34
4/24/2015,2.3
4/23/2015,2.33
4/22/2015,2.28
4/21/2015,2.35
4/20/2015,2.49
4/17/2015,2.575
4/16/2015,2.87
4/15/2015,2.7
4/14/2015,2.67
4/13/2015,2.78
4/10/2015,2.76
4/9/2015,2.72
4/8/2015,2.71
4/7/2015,2.7
4/6/2015,2.7
4/2/2015,2.69
4/1/2015,2.69
3/31/2015,2.68
3/30/2015,2.7
3/27/2015,2.72
3/26/2015,2.65
3/25/2015,2.63
3/24/2015,2.79
3/23/2015,2.84
3/20/2015,2.8
3/19/2015,2.74
3/18/2015,2.75
3/17/2015,2.77
3/16/2015,2.76
3/13/2015,2.75
3/12/2015,2.76
3/11/2015,2.84
3/10/2015,2.92
3/9/2015,2.93
3/6/2015,2.92
3/5/2015,2.98
3/4/2015,3.05
3/3/2015,3.14
3/2/2015,3.21
2/27/2015,3.11
2/26/2015,3.08
2/25/2015,3.1
2/24/2015,3.11
2/23/2015,3.06
2/20/2015,3.06
2/19/2015,3.055
2/18/2015,3.08
2/17/2015,3.11
2/13/2015,3.15
2/12/2015,3.12
2/11/2015,3.07
2/10/2015,3.04
2/9/2015,3.04
2/6/2015,3.03
2/5/2015,3.31
2/4/2015,2.85
2/3/2015,2.76
2/2/2015,2.67
1/30/2015,2.57
1/29/2015,2.61
1/28/2015,2.63
1/27/2015,2.7
1/26/2015,2.61
1/23/2015,2.45
1/22/2015,2.47
1/21/2015,2.45
1/20/2015,2.24
1/16/2015,2.39
1/15/2015,2.52
1/14/2015,2.63
1/13/2015,2.66
1/12/2015,2.63
1/9/2015,2.63
1/8/2015,2.61
1/7/2015,2.58
1/6/2015,2.63
1/5/2015,2.66
1/2/2015,2.69
12/31/2014,2.67
12/30/2014,2.63
12/29/2014,2.66
12/26/2014,2.65
12/24/2014,2.65
12/23/2014,2.67
12/22/2014,2.66
12/19/2014,2.57
12/18/2014,2.55
12/17/2014,2.55
12/16/2014,2.5
12/15/2014,2.47
12/12/2014,2.52
12/11/2014,2.49
12/10/2014,2.48
12/9/2014,2.59
12/8/2014,2.58
12/5/2014,2.66
12/4/2014,2.69
12/3/2014,2.74
12/2/2014,2.68
12/1/2014,2.67
11/28/2014,2.79
11/26/2014,2.84
11/25/2014,2.83
11/24/2014,2.83
11/21/2014,2.77
11/20/2014,2.69
11/19/2014,2.63
11/18/2014,2.65
11/17/2014,2.67
11/14/2014,2.61
11/13/2014,2.66
11/12/2014,2.71
11/11/2014,2.73
11/10/2014,2.76
11/7/2014,2.78
11/6/2014,2.76
11/5/2014,2.8
11/4/2014,2.83
11/3/2014,2.87
10/31/2014,2.8
10/30/2014,2.75
10/29/2014,2.77
10/28/2014,2.72
10/27/2014,2.66
10/24/2014,2.68
10/23/2014,2.69
10/22/2014,2.64
10/21/2014,2.77
10/20/2014,2.67
10/17/2014,2.72
10/16/2014,2.64
10/15/2014,2.61
10/14/2014,2.62
10/13/2014,2.74
10/10/2014,2.72
10/9/2014,2.95
10/8/2014,3.28
10/7/2014,3.28
10/6/2014,3.36
10/3/2014,3.4
10/2/2014,3.39
10/1/2014,3.35
9/30/2014,3.41
9/29/2014,3.55
9/26/2014,3.6
9/25/2014,3.63
9/24/2014,3.7
9/23/2014,3.69
9/22/2014,3.76
9/19/2014,3.81
9/18/2014,3.88
9/17/2014,3.82
9/16/2014,3.81
9/15/2014,3.91
9/12/2014,3.96
9/11/2014,4.08
9/10/2014,4.08
9/9/2014,4.08
9/8/2014,4.13
9/5/2014,4.15
9/4/2014,4.15
9/3/2014,4.19
9/2/2014,4.16
8/29/2014,4.17
8/28/2014,4.14
8/27/2014,4.16
8/26/2014,4.19
8/25/2014,4.18
8/22/2014,4.25
8/21/2014,4.24
8/20/2014,4.28
8/19/2014,4.27
8/18/2014,4.21
8/15/2014,4.13
8/14/2014,4.08
8/13/2014,4.11
8/12/2014,4.08
8/11/2014,4.14
8/8/2014,4.12
8/7/2014,4.1
8/6/2014,4.12
8/5/2014,4.08
8/4/2014,4
8/1/2014,3.97
7/31/2014,3.91
7/30/2014,3.82
7/29/2014,3.79
7/28/2014,3.73
7/25/2014,3.76
7/24/2014,3.73
7/23/2014,3.76
7/22/2014,3.8
7/21/2014,3.78
7/18/2014,3.83
7/17/2014,4.57
7/16/2014,4.66
7/15/2014,4.53
7/14/2014,4.64
7/11/2014,4.37
7/10/2014,4.29
7/9/2014,4.23
7/8/2014,4.22
7/7/2014,4.26
7/3/2014,4.24
7/2/2014,4.34
7/1/2014,4.22
6/30/2014,4.19
6/27/2014,4.11
6/26/2014,4.03
6/25/2014,3.96
6/24/2014,3.94
6/23/2014,4.01
6/20/2014,4.1
6/19/2014,4.36
6/18/2014,4.4
6/17/2014,4.47
6/16/2014,4.44
6/13/2014,4.28
6/12/2014,4.29
6/11/2014,4.29
6/10/2014,4.2
6/9/2014,4.07
6/6/2014,4.06
6/5/2014,4.08
6/4/2014,4.04
6/3/2014,3.94
6/2/2014,3.97
5/30/2014,4
5/29/2014,4.03
5/28/2014,4
5/27/2014,4.04
5/23/2014,4.02
5/22/2014,4.01
5/21/2014,4.1
5/20/2014,4.05
5/19/2014,4.09
5/16/2014,4.02
5/15/2014,3.96
5/14/2014,3.98
5/13/2014,4.03
5/12/2014,3.97
5/9/2014,3.87
5/8/2014,3.93
5/7/2014,3.97
5/6/2014,4.01
5/5/2014,4.09
5/2/2014,4.12
5/1/2014,4.2
4/30/2014,4.09
4/29/2014,4.03
4/28/2014,3.96
4/25/2014,4.05
4/24/2014,4.28
4/23/2014,4.25
